anio;cantidad_nacidos_vivos;grupo_edad;;;;;;;
2001;2648;15 - 19;;;;;;;
2001;8029;20 - 24;;;;;;;
2001;23639;25 - 34;;;;;;;
2001;7289;35 y más;;;;;;;
2001;514;Ignorado;;;;;;;
2001;52;hasta 14;;;;;;;
2002;2629;15 - 19;;;;;;;
2002;7473;20 - 24;;;;;;;
2002;23069;25 - 34;;;;;;;
2002;7169;35 y más;;;;;;;
2002;434;Ignorado;;;;;;;
2002;51;hasta 14;;;;;;;
2003;2423;15 - 19;;;;;;;
2003;7310;20 - 24;;;;;;;
2003;24313;25 - 34;;;;;;;
2003;7717;35 y más;;;;;;;
2003;316;Ignorado;;;;;;;
2003;57;hasta 14;;;;;;;
2004;2712;15 - 19;;;;;;;
2004;7426;20 - 24;;;;;;;
2004;25340;25 - 34;;;;;;;
2004;8428;35 y más;;;;;;;
2004;73;Ignorado;;;;;;;
2004;40;hasta 14;;;;;;;
2005;2848;15 - 19;;;;;;;
2005;7176;20 - 24;;;;;;;
2005;24337;25 - 34;;;;;;;
2005;8617;35 y más;;;;;;;
2005;36;Ignorado;;;;;;;
2005;50;hasta 14;;;;;;;
2006;3044;15 - 19;;;;;;;
2006;7244;20 - 24;;;;;;;
2006;24218;25 - 34;;;;;;;
2006;9011;35 y más;;;;;;;
2006;22;Ignorado;;;;;;;
2006;43;hasta 14;;;;;;;
2007;3006;15 - 19;;;;;;;
2007;7261;20 - 24;;;;;;;
2007;22804;25 - 34;;;;;;;
2007;8959;35 y más;;;;;;;
2007;99;Ignorado;;;;;;;
2007;54;hasta 14;;;;;;;
2008;3142;15 - 19;;;;;;;
2008;7595;20 - 24;;;;;;;
2008;24354;25 - 34;;;;;;;
2008;9915;35 y más;;;;;;;
2008;58;Ignorado;;;;;;;
2008;58;hasta 14;;;;;;;
2009;2981;15 - 19;;;;;;;
2009;7527;20 - 24;;;;;;;
2009;22980;25 - 34;;;;;;;
2009;9987;35 y más;;;;;;;
2009;42;Ignorado;;;;;;;
2009;67;hasta 14;;;;;;;
2010;2990;15 - 19;;;;;;;
2010;7391;20 - 24;;;;;;;
2010;23232;25 - 34;;;;;;;
2010;10638;35 y más;;;;;;;
2010;35;Ignorado;;;;;;;
2010;61;hasta 14;;;;;;;
2011;3039;15 - 19;;;;;;;
2011;7247;20 - 24;;;;;;;
2011;22522;25 - 34;;;;;;;
2011;11357;35 y más;;;;;;;
2011;34;Ignorado;;;;;;;
2011;58;hasta 14;;;;;;;
2012;2928;15 - 19;;;;;;;
2012;6990;20 - 24;;;;;;;
2012;21510;25 - 34;;;;;;;
2012;11215;35 y más;;;;;;;
2012;22;Ignorado;;;;;;;
2012;41;hasta 14;;;;;;;
2013;2845;15 - 19;;;;;;;
2013;6868;20 - 24;;;;;;;
2013;21373;25 - 34;;;;;;;
2013;11454;35 y más;;;;;;;
2013;44;Ignorado;;;;;;;
2013;54;hasta 14;;;;;;;
2014;2764;15 - 19;;;;;;;
2014;6566;20 - 24;;;;;;;
2014;21449;25 - 34;;;;;;;
2014;11812;35 y más;;;;;;;
2014;83;Ignorado;;;;;;;
2014;35;hasta 14;;;;;;;
2015;2411;15 - 19;;;;;;;
2015;6119;20 - 24;;;;;;;
2015;20323;25 - 34;;;;;;;
2015;11976;35 y más;;;;;;;
2015;46;Ignorado;;;;;;;
2015;38;hasta 14;;;;;;;
2016;2062;15 - 19;;;;;;;
2016;5400;20 - 24;;;;;;;
2016;19466;25 - 34;;;;;;;
2016;11937;35 y más;;;;;;;
2016;58;Ignorado;;;;;;;
2016;31;hasta 14;;;;;;;
2017;24;hasta 14;;;;;;;
2017;1822;15 - 19;;;;;;;
2017;4761;20 - 24;;;;;;;
2017;17159;25 - 34;;;;;;;
2017;11197;35 y más;;;;;;;
2017;58;Ignorado;;;;;;;
2018;23;hasta 14;;;;;;;
2018;1463;15 - 19;;;;;;;
2018;4626;20 - 24;;;;;;;
2018;17014;25 - 34;;;;;;;
2018;11460;35 y más;;;;;;;
2018;54;Ignorado;;;;;;;
2019;20;hasta 14;;;;;;;
2019;1137;15 - 19;;;;;;;
2019;4139;20 - 24;;;;;;;
2019;16054;25 - 34;;;;;;;
2019;12012;35 y más;;;;;;;
2019;35;Ignorado;;;;;;;
2020;13;hasta 14;;;;;;;
2020;872;15 - 19;;;;;;;
2020;3191;20 - 24;;;;;;;
2020;13206;25 - 34;;;;;;;
2020;10244;35 y más;;;;;;;
2020;3;Ignorado;;;;;;;
2021;10;hasta 14;;;;;;;
2021;629;15 - 19;;;;;;;
2021;2602;20 - 24;;;;;;;
2021;12213;25 - 34;;;;;;;
2021;10102;35 y más;;;;;;;
2021;4;Ignorado;;;;;;;
2022;11;hasta 14;;;;;;;
2022;623;15 - 19;;;;;;;
2022;2415;20 - 24;;;;;;;
2022;11277;25 - 34;;;;;;;
2022;9759;35 y más;;;;;;;
2022;-;Ignorado;;;;;;;
