anio;cant_nacidos_vivos;nivel_instruccion
2001;1428;Ignorado
2001;1280;Primario incompleto
2001;26072;Secundario completo y más
2001;13391;Secundario incompleto
2002;884;Ignorado
2002;26055;Secundario completo y más
2002;13266;Secundario incompleto
2002;620;Primario incompleto
2003;1151;Ignorado
2003;27414;Secundario completo y más
2003;12532;Secundario incompleto
2003;1039;Primario incompleto
2004;441;Ignorado
2004;29420;Secundario completo y más
2004;12950;Secundario incompleto
2004;1208;Primario incompleto
2005;1090;Primario incompleto
2005;12511;Secundario incompleto
2005;29170;Secundario completo y más
2005;293;Ignorado
2006;260;Ignorado
2006;29027;Secundario completo y más
2006;13033;Secundario incompleto
2006;1262;Primario incompleto
2007;312;Ignorado
2007;28222;Secundario completo y más
2007;12747;Secundario incompleto
2007;902;Primario incompleto
2008;701;Primario incompleto
2008;192;Ignorado
2008;31081;Secundario completo y más
2008;13148;Secundario incompleto
2009;270;Ignorado
2009;13237;Secundario incompleto
2009;835;Primario incompleto
2009;29242;Secundario completo y más
2010;333;Ignorado
2010;30319;Secundario completo y más
2010;12888;Secundario incompleto
2010;807;Primario incompleto
2011;307;Ignorado
2011;30342;Secundario completo y más
2011;12795;Secundario incompleto
2011;813;Primario incompleto
2012;213;Ignorado
2012;29536;Secundario completo y más
2012;12342;Secundario incompleto
2012;615;Primario incompleto
2013;944;Primario incompleto
2013;29790;Secundario completo y más
2013;297;Ignorado
2013;11607;Secundario incompleto
2014;500;Ignorado
2014;29341;Secundario completo y más
2014;12246;Secundario incompleto
2014;622;Primario incompleto
2015;418;Ignorado
2015;27468;Secundario completo y más
2015;12529;Secundario incompleto
2015;498;Primario incompleto
2016;413;Ignorado
2016;27345;Secundario completo y más
2016;10840;Secundario incompleto
2016;356;Primario incompleto
2017;392;Ignorado
2017;25519;Secundario completo y más
2017;8759;Secundario incompleto
2017;351;Primario incompleto
2018;455;Ignorado
2018;25814;Secundario completo y más
2018;8015;Secundario incompleto
2018;356;Primario incompleto
2019;11145;Ignorado
2019;17269;Secundario completo y más
2019;4806;Secundario incompleto
2019;177;Primario incompleto
2020;4678;Ignorado
2020;17618;Secundario completo y más
2020;4823;Secundario incompleto
2020;410;Primario incompleto
2021;2149;Ignorado
2021;17829;Secundario completo y más
2021;5208;Secundario incompleto
2021;374;Primario incompleto
2022;2.405;Ignorado
2022;16.980;Secundario completo y más
2022;4.449;Secundario incompleto
2022;251;Primario incompleto
