anio;cant_nacidos_vivos;situacion_convivencia
2001;1486;Ignorado
2001;2951;No convive
2001;37734;Convive
2002;1261;Ignorado
2002;2893;No convive
2002;36671;Convive
2003;1700;Ignorado
2003;2745;No convive
2003;37691;Convive
2004;433;Ignorado
2004;2951;No convive
2004;40635;Convive
2005;39881;Convive
2005;2571;No convive
2005;612;Ignorado
2006;604;Ignorado
2006;2499;No convive
2006;40479;Convive
2007;488;Ignorado
2007;2626;No convive
2007;39069;Convive
2008;197;Ignorado
2008;3232;No convive
2008;41693;Convive
2009;411;Ignorado
2009;40690;Convive
2009;2483;No convive
2010;276;Ignorado
2010;2801;No convive
2010;41270;Convive
2011;438;Ignorado
2011;2878;No convive
2011;40941;Convive
2012;348;Ignorado
2012;2669;No convive
2012;39689;Convive
2013;39404;Convive
2013;2704;No convive
2013;530;Ignorado
2014;798;Ignorado
2014;2528;No convive
2014;39383;Convive
2015;846;Ignorado
2015;2505;No convive
2015;37562;Convive
2016;664;Ignorado
2016;2333;No convive
2016;35957;Convive
2017;31942;Convive
2017;2443;No convive
2017;636;Ignorado
2018;31628;Convive
2018;2320;No convive
2018;692;Ignorado
2019;20772;Convive
2019;1325;No convive
2019;11300;Ignorado
2020;21234;Convive
2020;1363;No convive
2020;4932;Ignorado
2021;21975;Convive
2021;1328;No convive
2021;2257;Ignorado
2022;20268;Convive
2022;1309;No convive
2022;2508;Ignorado
